City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
82,chivay,100,PE,1571105963,53,-15.64,-71.6,40.658,1.07
83,candolim,40,IN,1571105963,88,15.52,73.76,80.6,2.6
84,vestmannaeyjar,100,IS,1571105964,83,63.44,-20.27,46.79600000000005,18.618
85,lebu,20,ET,1571105448,71,8.96,38.73,50.0,2.065
86,praya,20,ID,1571105964,58,-8.71,116.27,86.0,4.6
87,pevek,100,RU,1571105562,72,69.7,170.27,32.27000000000006,1.268
88,broome,100,GB,1571105551,93,52.47,1.45,59.0,3.6
89,tessalit,0,ML,1571105964,22,20.2,1.01,83.46200000000006,3.014
90,svetlaya,34,RU,1571105619,35,46.54,138.33,42.188000000000045,3.073
91,vera cruz,40,BR,1571105965,78,-12.96,-38.61,78.80000000000001,5.1
92,amapa,90,HN,1571105607,94,15.09,-87.97,77.0,0.168
93,vaini,75,IN,1571105535,94,15.34,74.49,73.4,3.1
94,sorland,46,NO,1571105575,63,67.67,12.69,44.13200000000002,4.818
95,bluff,0,AU,1571105461,19,-23.58,149.07,95.21600000000001,6.29
96,port elizabeth,1,US,1571105456,93,39.31,-74.98,64.00400000000005,2.693
97,lata,0,IN,1571105605,45,30.78,78.62,37.16600000000001,1.648
98,port-gentil,100,GA,1571105966,84,-0.72,8.78,77.81000000000009,3.961
99,slavyanka,0,RU,1571105966,34,42.86,131.39,46.47200000000004,2.66
100,college,20,US,1571105553,69,64.86,-147.8,32.0,2.6
101,lubango,47,AO,1571105966,77,-14.92,13.49,61.46600000000001,0.416
102,pisco,0,PE,1571105459,88,-13.71,-76.2,62.99600000000005,4.6
103,ahipara,77,NZ,1571105967,100,-35.17,173.16,64.99400000000009,7.996
104,cabra,26,ES,1571105967,87,37.47,-4.43,55.004000000000055,1.0
105,bandarbeyla,70,SO,1571105533,75,9.49,50.81,80.6,4.511
106,waipawa,100,NZ,1571105967,92,-39.94,176.59,51.00800000000001,6.71
107,micheweni,31,TZ,1571105967,81,-4.97,39.83,78.22400000000002,4.679
108,bilopillya,0,UA,1571105967,71,51.15,34.31,51.458000000000006,3.252
